data;Índ. Dólar;dólar EUA spot;dólar-ouro;dólar-prata;méx.;euro-dólar EUA;libra-dól;Japão;reais BR;CRB Tot;CRB Ali;CRB Ind;CRB Met;CRB Ól.;CRB Text;CRB Gado;Soja Spot;Milho Spot;Açúcar Spot;Café A Spot;Café A Indx;Petróleo B;Petróleo W;Ouro;Prata
01/01/1998;99,65;1;288,75;6;8,055;1,0909;1,6476;130,55;1,116;;;;;;;;;;;;;;;;
02/01/1998;100,1;1;288,25;5,97;8,055;1,0866;1,645;132,32;1,1161;;;;;;;;;;;;;;;;
05/01/1998;101,06;1;281,85;5,93;8,05;1,0776;1,6298;133,42;1,116;;;;;;;;;;;;;;;;
06/01/1998;101,4;1;280,85;6,09;8,04;1,0754;1,6202;134,18;1,1161;;;;;;;;;;;;;;;;
07/01/1998;100,64;1;283,25;6,04;8,045;1,0733;1,6246;132,05;1,1171;;;;;;;;;;;;;;;;
08/01/1998;101,02;1;281,05;5,8;8,065;1,0784;1,6129;132,55;1,1175;;;;;;;;;;;;;;;;
09/01/1998;100,93;1;278,65;5,67;8,18;1,0764;1,6128;132,09;1,118;;;;;;;;;;;;;;;;
12/01/1998;100,93;1;278,15;5,51;8,285;1,0769;1,6225;132,63;1,1188;;;;;;;;;;;;;;;;
13/01/1998;100,71;1;283,15;5,74;8,165;1,0755;1,6343;131,51;1,1182;;;;;;;;;;;;;;;;
14/01/1998;100,74;1;281,45;5,73;8,225;1,0749;1,6286;130,9;1,1184;;;;;;;;;;;;;;;;
15/01/1998;100,98;1;286,95;5,89;8,22;1,0699;1,6302;129,8;1,1204;;;;;;;;;;;;;;;;
16/01/1998;100,99;1;290,15;5,84;8,165;1,0719;1,6284;129,35;1,1201;;;;;;;;;;;;;;;;
19/01/1998;101,04;1;287,45;5,775;8,185;1,0669;1,6383;129,26;1,1196;;;;;;;;;;;;;;;;
20/01/1998;101,2;1;291,45;5,77;8,17;1,0646;1,6272;128,38;1,1201;;;;;;;;;;;;;;;;
21/01/1998;100,24;1;292,85;5,86;8,215;1,0722;1,6327;126,86;1,1203;;;;;;;;;;;;;;;;
22/01/1998;99,76;1;290,75;5,79;8,277;1,0868;1,6491;127,37;1,12;;;;;;;;;;;;;;;;
23/01/1998;98,44;1;299,63;5,94;8,285;1,1002;1,6723;125,7;1,121;;;;;;;;;;;;;;;;
26/01/1998;99,16;1;297,5;5,99;8,285;1,0946;1,6568;126,68;1,1212;;;;;;;;;;;;;;;;
